"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
30200,134,14,76,2,33,9,13,0,10,0,2,1,6,0,4,0,2,0
30501,96,10,56,3,22,5,4,0,4,0,0,0,4,0,4,0,0,0
30502,74,6,47,6,12,3,5,0,3,2,0,0,2,0,2,0,0,0
30600,106,21,41,7,26,11,17,4,6,1,4,2,3,0,2,0,1,0
30700,55,17,19,2,15,2,3,0,3,0,0,0,2,0,0,1,1,0
30800,67,18,17,13,15,4,7,4,0,0,3,0,0,0,0,0,0,0
30900,62,1,33,7,16,5,9,0,5,0,2,2,0,0,0,0,0,0
31000,86,20,22,17,19,8,9,3,2,0,2,2,0,0,0,0,0,0
31101,95,4,48,3,35,5,9,0,7,0,2,0,2,0,2,0,0,0
31102,86,7,38,4,33,4,9,1,4,0,4,0,4,1,3,0,0,0
31200,86,13,36,5,22,10,10,0,7,1,1,1,2,0,1,0,1,0
31300,116,17,28,20,40,11,16,2,5,2,5,2,2,0,0,0,2,0
31401,107,19,23,13,31,21,8,2,0,1,2,3,3,0,1,0,2,0
31402,89,20,9,29,23,8,5,1,0,3,1,0,1,0,0,0,1,0
31501,86,59,5,7,13,2,4,1,1,1,1,0,1,0,0,0,1,0
31502,65,33,8,11,10,3,8,3,3,0,1,1,0,0,0,0,0,0
31600,86,49,11,5,15,6,8,6,1,0,1,0,1,0,1,0,0,0
31700,106,26,27,8,41,4,9,2,4,0,3,0,2,0,2,0,0,0
31800,72,9,27,5,25,6,10,1,6,0,2,1,2,0,0,0,2,0
31900,82,16,35,1,28,2,13,1,6,0,5,1,9,2,4,0,2,1
32000,109,46,31,2,24,6,9,3,2,0,3,1,1,0,1,0,0,0
32100,69,28,27,1,11,2,5,3,1,0,1,0,1,1,0,0,0,0
32300,75,34,17,1,19,4,10,4,5,0,1,0,5,2,2,0,1,0
32500,95,47,12,2,30,4,9,7,1,1,0,0,4,4,0,0,0,0
32600,93,46,21,1,22,3,14,5,8,0,1,0,6,2,2,0,2,0
32900,70,34,15,2,14,5,4,1,0,0,3,0,0,0,0,0,0,0
33000,133,64,34,7,23,5,6,4,1,0,0,1,4,1,3,0,0,0
33101,73,55,6,1,9,2,8,6,0,1,1,0,1,1,0,0,0,0
33102,63,49,7,0,6,1,4,2,1,0,1,0,0,0,0,0,0,0
33200,30,19,4,4,2,1,2,0,2,0,0,0,0,0,0,0,0,0
33300,44,25,8,3,5,3,5,1,2,0,0,2,0,0,0,0,0,0
33400,57,19,14,9,11,4,7,2,1,1,2,1,0,0,0,0,0,0
33500,54,17,8,10,7,12,5,1,1,1,2,0,0,0,0,0,0,0
33600,126,63,20,11,21,11,3,0,1,0,1,1,2,0,1,0,1,0
33701,73,32,7,12,11,11,5,4,0,0,1,0,1,1,0,0,0,0
33702,64,37,8,10,5,4,8,7,0,1,0,0,0,0,0,0,0,0
33800,79,44,5,8,16,6,6,2,2,0,1,1,1,1,0,0,0,0
33900,51,27,7,6,10,1,5,2,1,0,2,0,1,1,0,0,0,0
34000,29,23,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0
34100,77,56,4,5,11,1,5,2,0,0,3,0,0,0,0,0,0,0
34200,31,19,7,2,1,2,5,2,1,0,0,2,0,0,0,0,0,0
34400,60,40,3,12,3,2,8,7,0,1,0,0,0,0,0,0,0,0
34501,43,14,8,9,8,4,3,0,1,2,0,0,0,0,0,0,0,0
34502,78,28,19,14,12,5,8,2,3,3,0,0,0,0,0,0,0,0
34600,38,15,13,3,5,2,5,2,2,0,1,0,1,0,1,0,0,0
34701,70,22,20,12,13,3,3,1,0,0,1,1,0,0,0,0,0,0
34702,41,28,4,3,4,2,2,2,0,0,0,0,0,0,0,0,0,0
34801,51,43,4,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0
