Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
031200,13,31,9,1,18,3,1,6,0,1,1,0,0,1,0,0,0,0
031300,27,26,23,4,24,3,4,5,1,0,4,0,0,2,0,0,1,0
031400,55,31,24,8,38,7,5,3,2,1,2,0,2,0,0,0,2,0
031500,126,11,7,3,11,2,8,3,0,0,0,0,1,0,0,0,0,0
031600,48,6,3,0,5,2,3,1,0,0,1,0,2,1,0,0,0,0
031700,34,20,7,1,16,2,3,0,0,0,1,0,2,2,0,0,0,0
031800,7,19,7,3,12,3,0,2,0,0,1,0,0,1,0,0,4,0
031900,38,17,2,1,11,0,7,3,0,0,2,0,2,0,1,0,0,0
032000,62,10,4,4,10,2,5,1,0,0,0,0,3,1,0,0,0,0
032100,29,20,0,1,7,3,2,2,0,0,0,1,0,1,0,0,2,0
032200,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
032300,40,13,0,1,13,3,1,0,0,1,0,1,2,0,0,0,2,0
032500,57,13,3,0,8,0,6,2,0,0,2,0,1,2,0,0,1,0
032600,50,8,1,1,13,1,1,1,0,0,0,0,0,1,0,0,0,0
032700,0,4,0,0,3,0,0,2,0,0,0,0,0,4,0,0,2,0
032800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
032900,27,5,2,3,5,0,1,1,0,3,0,0,1,0,0,0,0,0
033000,72,16,4,2,18,0,11,0,0,0,0,0,0,0,0,0,2,0
033100,116,6,1,0,11,3,10,0,0,0,0,1,1,0,0,0,0,0
033200,34,4,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0
033300,21,5,0,2,3,0,0,0,0,1,0,0,2,0,0,0,0,0
033400,19,12,8,1,8,0,1,1,1,0,1,0,0,0,0,0,0,0
033500,22,6,7,2,2,2,3,1,1,0,0,0,1,0,0,0,0,0
033600,52,5,5,3,9,1,2,1,0,1,2,0,2,0,0,0,0,0
033700,75,4,9,7,15,1,11,0,0,0,3,1,1,0,0,0,0,0
033800,53,9,5,3,11,2,2,0,1,0,2,0,0,0,0,0,1,0
033900,36,4,1,2,6,1,3,0,0,0,0,0,0,0,0,0,0,0
034000,19,2,1,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0
034100,60,4,4,2,2,0,3,1,0,0,0,0,1,0,0,0,0,0
034200,18,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
034300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034400,51,2,9,2,9,0,5,0,0,0,0,0,2,0,0,0,0,0
034500,51,24,20,1,8,2,8,3,2,0,0,0,0,0,0,0,0,0
034600,17,7,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
034701,35,3,18,3,10,2,3,0,1,0,0,0,0,0,0,0,0,0
034702,24,6,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
