"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","District","Network 3","Elementary-Middle","2720","Vare-Washington Elementary","596","Y","353","594","218","0.59","36.70%","61.76%"
"2021-2022","Alternative","Opportunity Network","Middle","3040","Excel Middle Years Academy","-","-","14","0","0","-","-","0.00%"
"2021-2022","Alternative","Innovation Network","Elementary","3190","Crossroads at Hunting Park","446","Y","20","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3240","Liguori Academy-Fortis","-","-","117","0","0","-","-","0.00%"
"2021-2022","Alternative","Opportunity Network","High","3290","Excel Academy South","-","-","383","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3301","Community Academy Of Phila","-","-","1235","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3302","Harambee Institute Of Science","-","-","601","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3304","Youthbuild Phila. Charter","-","-","165","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3306","Columbus, Christopher Charter","-","-","868","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3307","De Hostos Charter School","-","-","491","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary","3308","Inquiry Charter School","-","-","264","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3309","Imhotep Charter School","-","-","585","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3310","Lab Sch of Communication & Lang","-","-","686","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3312","Multicultural Academy","-","-","262","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3313","Preparatory Charter School","-","-","615","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3314","West Oak Lane Charter School","-","-","999","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3315","Alliance For Progress Charter","-","-","552","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle-High","3318","Freire Charter School","-","-","995","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3321","Math, Civics And Sciences","-","-","954","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3322","Philadelphia Academy","-","-","1110","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3323","Mastery Charter at Hardy Williams","1071","N","1145","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle","3326","Universal Institute","-","-","575","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3328","Math, Science And Technology","-","-","1490","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Middle","3329","Young Scholars Charter School","-","-","277","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","High","3331","Franklin Towne Charter School","-","-","1262","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3332","Bracetti, Mariana Academy","-","-","1523","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3333","Esperanza Academy Charter School","-","-","1612","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3334","New Foundations Charter School","-","-","1514","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3335","People For People","-","-","528","0","0","-","-","0.00%"
"2021-2022","Charter","Charters","Elementary-Middle-High","3336","Phila Performing Arts: A String Theory","-","-","2505","0","0","-","-","0.00%"
